Epoch	Test Accuracy	Min Index	Selected Indices
0	36.140	1.402	NA	NA
1	37.040	0.944	NA	NA
2	42.820	0.984	NA	NA
3	43.070	0.811	NA	NA
4	43.140	0.817	NA	NA
5	42.080	0.804	1	24,3,6,15,20,22,4,13,1,19,7
6	40.930	0.828	1	2,24,4,7,13,9,6,1,22,10,23
7	39.330	0.897	1	4,1,21,3,7,6,12,18,5,15,14
8	37.960	0.856	3	5,4,20,23,6,22,14,11,3,15,18
9	36.420	0.930	2	8,2,15,12,7,13,3,14,19,5,22
10	34.810	0.925	0	0,19,9,11,8,7,6,10,5,1,12
11	32.960	0.956	6	18,14,12,16,11,8,6,10,15,17,13
12	31.450	0.935	3	7,20,9,8,21,15,17,14,12,3,16
13	29.040	0.928	1	20,6,22,18,11,24,23,14,4,1,17
14	26.820	1.037	5	13,10,16,5,12,11,23,6,9,15,17
15	24.080	1.070	2	16,8,5,10,13,11,22,2,18,24,3
16	21.780	1.094	0	23,15,1,16,13,11,8,22,0,10,17
17	18.820	1.085	2	10,11,4,16,2,15,9,18,19,17,8
18	16.400	1.168	2	17,2,20,18,12,13,7,6,24,21,8
19	14.070	1.197	1	15,16,1,24,4,10,8,17,5,2,6
20	12.260	1.248	0	21,17,13,0,15,4,16,1,19,18,3
21	10.860	1.232	1	9,4,8,18,1,13,11,6,3,21,23
22	10.090	1.295	0	8,24,16,18,13,15,7,0,6,5,22
23	9.380	1.377	0	18,0,9,15,10,2,13,1,12,21,24
24	8.830	1.372	0	4,22,7,3,10,24,0,17,6,8,13
25	8.660	1.499	3	6,7,21,22,13,23,3,19,5,14,17
26	8.380	1.526	1	19,4,24,16,6,14,13,15,1,3,10
27	8.010	1.564	1	5,15,14,8,6,23,18,4,1,10,11
28	7.740	1.623	0	19,1,0,11,12,10,24,16,8,4,13
29	7.640	1.734	0	21,10,1,24,0,5,11,3,18,8,15
30	7.460	1.813	1	24,8,7,13,11,1,9,17,19,6,22
31	7.350	1.807	0	17,13,5,8,0,6,24,12,7,14,15
32	7.210	1.893	2	14,11,15,4,24,9,12,20,2,5,3
33	7.150	2.008	0	15,10,6,17,3,5,0,1,11,20,24
34	7.070	1.968	2	3,14,19,18,9,13,24,22,16,11,2
35	7.060	2.117	0	1,23,0,6,11,21,2,19,10,7,3
36	6.950	2.232	0	3,13,16,7,1,0,2,17,10,24,23
37	7.070	2.297	1	9,5,8,13,14,1,22,6,15,18,10
38	7.010	2.309	7	12,21,20,9,10,14,18,17,24,19,7
39	7.100	2.429	2	20,14,3,12,8,22,24,11,7,16,2
40	7.100	2.508	0	14,16,19,3,7,0,24,10,21,15,18
41	7.090	2.672	0	15,21,4,7,0,18,23,12,20,3,9
42	7.110	2.742	0	10,16,2,17,20,18,8,14,4,0,15
43	7.010	2.813	1	3,16,19,8,13,1,21,17,6,14,10
44	7.040	2.964	3	11,5,7,3,4,9,23,12,16,17,21
45	7.080	3.097	1	22,1,11,3,14,13,5,23,6,8,21
46	7.090	3.231	0	18,1,3,15,19,0,4,23,24,6,12
47	6.990	3.400	0	22,2,10,5,11,21,0,15,14,23,8
48	7.020	3.505	0	0,20,6,12,21,19,16,17,22,24,2
49	6.980	3.686	1	14,24,8,12,17,3,2,9,18,4,1
