Epoch	Test Accuracy	Min Index	Selected Indices
0	35.670	1.847	NA	NA
1	42.080	1.243	NA	NA
2	42.360	1.020	NA	NA
3	42.530	0.995	NA	NA
4	42.570	1.000	NA	NA
5	45.510	1.067	NA	NA
6	45.880	0.922	NA	NA
7	48.630	0.941	NA	NA
8	48.720	0.823	NA	NA
9	48.570	0.839	NA	NA
10	47.620	0.857	0	8,7,18,4,2,21,11,0,22,3,19
11	46.380	0.843	3	7,14,9,23,3,15,16,12,5,20,18
12	45.140	0.819	4	15,22,4,11,13,9,17,24,16,5,18
13	43.620	0.896	1	1,24,10,19,2,18,17,5,11,3,23
14	41.990	0.845	4	22,24,23,17,4,11,6,7,12,10,16
15	40.520	0.920	0	21,6,4,20,1,23,11,16,0,3,5
16	38.560	0.906	2	17,10,21,13,20,3,2,14,9,8,24
17	36.520	0.936	1	10,3,4,13,5,11,9,21,1,6,22
18	34.450	0.931	2	12,15,6,19,8,5,23,21,10,17,2
19	32.600	1.014	2	22,24,17,23,7,4,2,8,15,20,11
20	30.610	0.984	1	15,1,7,21,12,24,19,18,17,5,16
21	28.510	1.061	0	4,22,19,3,17,7,0,16,6,9,10
22	26.240	1.111	0	21,12,5,22,18,4,23,0,11,14,16
23	24.060	1.077	0	16,1,21,13,11,12,14,15,10,6,0
24	22.010	1.172	1	1,15,16,5,7,20,9,6,10,21,22
25	19.840	1.209	2	14,3,17,2,20,16,6,8,12,23,24
26	17.460	1.251	3	12,17,15,3,24,14,9,5,6,22,16
27	15.610	1.306	2	21,2,12,19,14,15,7,20,5,11,8
28	13.900	1.375	0	15,4,5,0,20,18,10,14,22,2,3
29	12.390	1.446	0	24,17,19,14,23,22,11,21,0,5,16
30	11.030	1.506	1	15,24,12,5,4,1,22,2,8,11,19
31	9.860	1.520	3	23,4,7,6,5,22,14,16,13,17,3
32	8.610	1.642	2	5,12,13,9,18,14,10,7,3,2,22
33	8.020	1.709	0	21,20,6,0,23,22,11,18,1,12,7
34	7.180	1.864	1	1,18,22,23,2,8,9,11,15,6,4
35	6.570	1.990	1	24,20,23,22,16,9,1,8,19,6,14
36	6.060	2.165	0	2,13,10,21,6,9,18,5,8,0,11
37	5.680	2.269	0	9,0,3,7,24,2,23,11,6,21,19
38	5.450	2.311	0	16,4,0,24,17,22,12,23,5,6,19
39	5.070	2.393	0	13,4,24,6,23,17,0,8,10,7,18
40	4.660	2.467	1	14,1,10,7,16,13,6,5,22,18,23
41	4.310	2.602	0	8,9,21,23,15,1,0,3,12,5,10
42	4.070	2.666	2	11,2,17,3,24,12,7,10,14,15,22
43	3.890	2.837	0	0,18,19,9,13,4,21,2,17,23,15
44	3.700	2.878	0	13,19,5,21,14,6,20,12,7,0,2
45	3.800	2.918	4	8,5,23,24,18,21,4,11,13,15,22
46	3.820	3.035	1	1,23,3,21,17,4,6,2,10,5,24
47	3.850	3.165	0	14,19,7,21,17,4,2,12,23,11,0
48	4.200	3.218	4	4,17,11,19,6,20,22,7,24,5,23
49	4.600	3.291	2	18,7,24,8,6,19,21,2,9,16,17
