Epoch	Test Accuracy	Min Index	Selected Indices
0	33.930	1.825	NA	NA
1	42.320	1.243	NA	NA
2	43.070	1.028	NA	NA
3	43.220	1.035	NA	NA
4	43.220	1.047	NA	NA
5	43.360	1.062	NA	NA
6	43.380	1.056	NA	NA
7	43.420	1.064	NA	NA
8	43.420	1.066	NA	NA
9	43.440	1.083	NA	NA
10	42.450	1.079	1	4,14,23,5,12,11,13,16,3,17,1
11	41.200	1.121	1	4,14,23,5,12,11,13,16,3,17,1
12	39.680	1.151	1	4,14,23,5,12,11,13,16,3,17,1
13	38.130	1.187	1	4,14,23,5,12,11,13,16,3,17,1
14	36.230	1.230	1	4,14,23,5,12,11,13,16,3,17,1
15	33.700	1.262	1	4,14,23,5,12,11,13,16,3,17,1
16	30.900	1.293	1	4,14,23,5,12,11,13,16,3,17,1
17	27.600	1.338	1	4,14,23,5,12,11,13,16,3,17,1
18	23.980	1.381	1	4,14,23,5,12,11,13,16,3,17,1
19	20.260	1.430	1	4,14,23,5,12,11,13,16,3,17,1
20	16.750	1.478	1	4,14,23,5,12,11,13,16,3,17,1
21	13.790	1.519	1	4,14,23,5,12,11,13,16,3,17,1
22	11.210	1.579	1	4,14,23,5,12,11,13,16,3,17,1
23	9.940	1.636	1	4,14,23,5,12,11,13,16,3,17,1
24	8.720	1.690	1	4,14,23,5,12,11,13,16,3,17,1
25	7.860	1.732	1	4,14,23,5,12,11,13,16,3,17,1
26	7.150	1.810	1	4,14,23,5,12,11,13,16,3,17,1
27	6.580	1.871	1	4,14,23,5,12,11,13,16,3,17,1
28	6.280	1.937	1	4,14,23,5,12,11,13,16,3,17,1
29	6.050	2.002	1	4,14,23,5,12,11,13,16,3,17,1
30	5.960	2.081	1	4,14,23,5,12,11,13,16,3,17,1
31	5.960	2.147	1	4,14,23,5,12,11,13,16,3,17,1
32	6.070	2.204	1	4,14,23,5,12,11,13,16,3,17,1
33	6.040	2.269	1	4,14,23,5,12,11,13,16,3,17,1
34	6.050	2.292	1	4,14,23,5,12,11,13,16,3,17,1
35	6.110	2.364	1	4,14,23,5,12,11,13,16,3,17,1
36	6.380	2.424	1	4,14,23,5,12,11,13,16,3,17,1
37	6.800	2.473	1	4,14,23,5,12,11,13,16,3,17,1
38	7.040	2.554	1	4,14,23,5,12,11,13,16,3,17,1
39	7.530	2.618	1	4,14,23,5,12,11,13,16,3,17,1
40	8.020	2.679	1	4,14,23,5,12,11,13,16,3,17,1
41	8.480	2.735	1	4,14,23,5,12,11,13,16,3,17,1
42	8.730	2.790	1	4,14,23,5,12,11,13,16,3,17,1
43	8.980	2.855	1	4,14,23,5,12,11,13,16,3,17,1
44	9.020	2.944	1	4,14,23,5,12,11,13,16,3,17,1
45	9.010	3.006	1	4,14,23,5,12,11,13,16,3,17,1
46	9.060	3.090	1	4,14,23,5,12,11,13,16,3,17,1
47	9.040	3.179	1	4,14,23,5,12,11,13,16,3,17,1
48	9.090	3.278	1	4,14,23,5,12,11,13,16,3,17,1
49	9.100	3.436	1	4,14,23,5,12,11,13,16,3,17,1
