Epoch	Test Accuracy	Min Index	Selected Indices
0	33.270	1.848	NA	NA
1	43.890	1.223	NA	NA
2	44.790	1.027	NA	NA
3	44.400	0.931	NA	NA
4	46.510	0.880	NA	NA
5	46.760	0.887	NA	NA
6	48.150	0.895	NA	NA
7	48.610	0.791	NA	NA
8	49.300	0.853	NA	NA
9	50.890	0.768	NA	NA
10	50.100	0.695	NA	NA
11	51.670	0.737	NA	NA
12	50.320	0.752	NA	NA
13	50.950	0.746	NA	NA
14	52.230	0.768	NA	NA
15	52.560	0.689	NA	NA
16	52.780	0.656	NA	NA
17	53.650	0.696	NA	NA
18	53.720	0.654	NA	NA
19	53.930	0.689	NA	NA
20	52.610	0.704	NA	NA
21	54.050	0.662	NA	NA
22	54.080	0.685	NA	NA
23	54.160	0.680	NA	NA
24	54.060	0.743	NA	NA
25	54.830	0.697	NA	NA
26	55.120	0.718	NA	NA
27	55.130	0.734	NA	NA
28	55.100	0.740	NA	NA
29	55.160	0.705	NA	NA
30	55.360	0.734	NA	NA
31	51.260	0.757	NA	NA
32	51.470	0.719	NA	NA
33	51.560	0.710	NA	NA
34	53.440	0.715	NA	NA
35	53.530	0.741	NA	NA
36	52.630	0.767	NA	NA
37	52.850	0.690	NA	NA
38	54.360	0.628	NA	NA
39	53.610	0.735	NA	NA
40	54.360	0.697	NA	NA
41	55.380	0.658	NA	NA
42	55.610	0.619	NA	NA
43	55.680	0.595	NA	NA
44	55.610	0.661	NA	NA
45	56.660	0.642	NA	NA
46	57.140	0.569	NA	NA
47	56.990	0.615	NA	NA
48	55.600	0.650	NA	NA
49	55.840	0.658	NA	NA
