Epoch	Test Accuracy	Min Index	Selected Indices
0	36.960	1.380	NA	NA
1	42.040	0.959	NA	NA
2	46.650	0.829	NA	NA
3	47.150	0.723	NA	NA
4	48.560	0.680	NA	NA
5	51.220	0.681	NA	NA
6	51.450	0.634	NA	NA
7	53.210	0.607	NA	NA
8	53.170	0.562	NA	NA
9	53.030	0.551	NA	NA
10	52.540	0.595	3	4,14,23,5,12,11,13,16,3,17
11	51.930	0.571	1	2,23,14,8,1,6,10,7,9,19
12	51.030	0.626	4	5,4,6,11,21,13,22,12,14,8
13	51.770	0.599	14	12,5,20,22,3,23,0,24,4,19
14	50.980	0.640	0	6,5,0,21,7,14,12,4,1,20
15	51.400	0.580	5	22,19,16,9,18,10,24,23,11,15
16	50.620	0.624	1	12,1,3,9,20,13,8,7,19,15
17	49.580	0.657	1	18,8,4,1,24,10,5,21,23,3
18	48.490	0.649	1	22,1,19,7,9,16,6,11,10,14
19	47.470	0.633	0	0,22,3,15,6,16,23,20,1,12
20	48.780	0.643	2	23,3,12,21,4,19,15,17,1,14
21	47.770	0.671	1	5,1,15,23,6,7,24,3,21,4
22	46.550	0.693	1	6,20,2,3,8,22,12,1,13,15
23	45.330	0.698	4	14,10,22,24,16,6,18,8,13,4
24	43.960	0.728	2	6,13,2,19,8,12,20,3,24,7
25	45.840	0.736	11	1,12,8,0,22,9,24,21,19,7
26	46.570	0.702	8	12,0,20,2,7,9,23,21,11,10
27	45.430	0.734	0	21,14,1,5,2,0,11,17,4,24
28	44.390	0.722	0	22,0,21,23,10,16,12,5,18,19
29	43.030	0.716	2	23,14,6,22,5,19,18,17,8,2
30	41.250	0.696	3	20,14,24,4,13,18,19,16,3,9
31	39.840	0.799	1	4,3,18,19,7,1,12,14,13,11
32	38.260	0.838	0	2,24,1,14,13,0,18,4,15,3
33	36.180	0.752	2	22,2,9,20,3,17,18,4,19,16
34	33.890	0.867	3	5,11,18,12,3,15,10,20,19,9
35	31.440	0.923	0	7,23,11,24,1,0,21,16,3,2
36	28.630	0.933	1	4,15,20,1,23,11,16,22,6,17
37	26.040	0.901	0	1,21,16,18,8,0,22,23,3,5
38	23.230	0.924	0	1,18,22,7,14,0,3,21,11,10
39	20.500	1.035	2	3,20,9,24,22,23,14,6,10,2
40	18.280	1.065	2	5,10,19,20,22,4,6,13,2,16
41	16.220	1.102	0	10,19,6,24,8,4,3,14,0,22
42	14.200	1.187	0	16,5,15,19,1,17,14,11,0,2
43	12.550	1.195	1	15,1,13,12,4,6,22,5,19,8
44	11.210	1.343	0	8,6,9,12,21,24,10,0,19,7
45	10.180	1.372	1	16,5,1,21,13,2,11,3,23,15
46	9.370	1.415	0	11,6,21,16,7,12,0,14,10,1
47	8.820	1.512	1	8,15,19,1,2,11,21,24,14,9
48	8.440	1.588	4	17,12,11,10,5,4,20,21,15,23
49	8.370	1.698	2	19,13,7,15,3,16,6,5,2,22
