Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	39.200	1.427	NA	NA
2	44.260	1.243	NA	NA
3	46.040	1.101	NA	NA
4	48.020	1.042	NA	NA
5	48.510	0.973	NA	NA
6	48.450	0.976	NA	NA
7	49.210	1.038	NA	NA
8	48.870	0.998	NA	NA
9	48.760	0.933	NA	NA
10	48.320	0.976	4	4
11	47.700	0.974	14	14
12	47.210	1.092	14	14
13	47.480	0.959	14	24
14	46.960	1.016	5	5
15	47.120	0.926	5	22
16	46.420	0.970	12	12
17	46.020	1.029	23	23
18	45.270	0.976	11	11
19	44.570	1.117	13	13
20	45.280	0.958	2	16
21	44.560	1.027	3	3
22	43.860	1.080	17	17
23	43.030	1.061	3	3
24	43.990	1.025	6	2
25	44.590	1.118	11	23
26	44.930	1.026	8	14
27	44.050	1.104	8	8
28	43.220	1.058	1	1
29	43.760	1.096	5	21
30	44.270	1.064	13	20
31	43.280	1.080	6	6
32	42.360	1.110	10	10
33	41.620	1.041	7	7
34	40.670	1.146	9	9
35	39.670	1.206	24	24
36	38.610	1.161	6	6
37	40.240	1.112	18	5
38	40.880	1.116	3	4
39	40.010	1.190	6	6
40	39.180	1.143	11	11
41	38.100	1.191	11	11
42	36.850	1.139	20	20
43	38.630	1.168	1	13
44	37.320	1.214	6	6
45	36.270	1.278	12	12
46	34.990	1.251	14	14
47	33.450	1.324	17	17
48	32.070	1.276	8	8
49	30.630	1.359	12	12
