Epoch	Test Accuracy	Min Index	Selected Indices
0	36.110	1.787	NA	NA
1	38.900	1.214	NA	NA
2	40.900	1.290	NA	NA
3	42.910	1.042	NA	NA
4	45.740	1.056	NA	NA
5	45.370	0.911	NA	NA
6	45.750	0.860	NA	NA
7	45.910	0.914	NA	NA
8	47.320	0.965	NA	NA
9	47.950	0.850	NA	NA
10	22.980	0.811	1	20,7,18,19,8,11,21,1,13,4,22
11	9.310	1.240	0	5,21,7,0,6,2,8,17,16,24,14
12	9.480	2.460	1	9,20,1,2,15,14,16,22,17,3,5
13	9.970	3.682	0	9,17,13,24,21,8,0,7,1,22,18
14	19.250	6.216	11	10,16,5,8,12,20,18,21,9,1,14
15	10.260	2.330	0	17,4,15,21,6,16,19,22,23,0,7
16	8.040	3.251	1	7,18,12,23,19,1,4,5,24,13,3
17	15.980	4.743	24	10,1,18,9,8,6,15,2,16,23,5
18	11.110	2.750	1	17,18,8,12,5,16,7,15,4,19,1
19	9.660	4.038	1	21,12,16,2,14,9,24,17,1,13,7
20	18.980	5.622	16	0,7,5,8,14,3,2,22,17,23,18
21	10.610	2.819	2	9,2,3,17,10,19,16,15,23,8,12
22	9.600	4.289	3	7,11,21,8,16,6,14,15,10,9,3
23	17.770	6.499	8	16,9,14,15,19,12,10,23,3,11,20
24	13.100	3.021	2	14,2,5,12,8,23,9,22,24,11,21
25	10.740	4.827	0	12,2,11,0,5,1,22,14,13,17,9
26	15.380	7.906	22	23,16,17,1,18,21,14,3,9,15,10
27	10.330	3.421	2	23,7,8,6,12,19,4,2,14,18,13
28	9.060	5.794	1	11,9,22,21,18,7,3,23,17,1,24
29	12.940	9.777	1	12,17,24,8,9,10,3,23,4,2,7
30	9.550	4.029	1	20,23,9,11,5,19,13,21,1,8,15
31	13.930	7.739	0	4,9,21,12,15,16,19,5,3,2,7
32	11.290	4.444	2	18,13,14,7,19,2,6,11,21,17,5
33	10.180	8.026	1	7,4,5,11,3,12,9,1,18,6,21
34	14.530	13.574	9	19,24,1,12,22,20,16,15,4,17,11
35	11.780	4.356	3	20,12,3,19,22,16,5,18,11,7,24
36	14.920	9.696	10	19,8,18,2,1,14,9,21,4,6,20
37	11.810	5.384	3	20,16,9,14,19,23,4,13,15,21,3
38	10.740	10.256	0	6,24,19,4,13,0,23,17,5,21,1
39	14.290	18.053	21	9,15,17,11,16,5,1,2,6,22,12
40	17.250	7.003	12	10,8,5,7,19,17,22,20,4,15,1
41	11.840	3.935	2	17,10,12,20,24,5,23,22,2,6,16
42	10.070	7.220	1	16,2,15,22,8,17,11,1,3,18,23
43	12.810	15.728	16	3,20,14,11,5,23,7,1,24,0,10
44	10.240	9.361	1	18,4,10,15,1,22,13,7,9,11,16
45	12.590	18.465	3	5,18,10,2,21,8,14,19,6,7,24
46	16.780	10.192	12	21,10,4,3,6,1,11,17,16,8,23
47	13.480	6.248	1	10,1,24,17,20,8,3,19,15,4,5
48	13.660	11.880	10	13,16,22,3,9,0,8,4,11,6,23
49	11.200	8.333	1	2,1,7,21,16,4,22,6,19,5,11
