Epoch	Test Accuracy	Min Index	Selected Indices
0	36.960	1.380	NA	NA
1	42.040	0.959	NA	NA
2	46.650	0.829	NA	NA
3	47.150	0.723	NA	NA
4	48.560	0.680	NA	NA
5	51.220	0.681	NA	NA
6	51.100	0.634	NA	NA
7	52.200	0.599	NA	NA
8	52.560	0.568	NA	NA
9	52.470	0.535	NA	NA
10	51.910	0.598	4	4,14,23,5,12,11,13
11	51.330	0.572	2	16,3,17,23,2,14,8
12	50.540	0.617	1	1,21,20,6,10,7,9
13	51.260	0.599	14	24,6,5,4,23,11,19
14	50.270	0.642	6	20,13,6,12,14,17,8
15	49.620	0.576	0	12,5,20,22,3,23,0
16	48.650	0.633	4	19,12,4,18,5,6,20
17	47.510	0.671	0	0,21,7,14,20,12,4
18	46.300	0.682	1	19,17,1,24,7,21,16
19	45.230	0.632	9	22,9,24,18,10,16,20
20	47.910	0.645	2	17,11,15,12,1,3,9
21	46.640	0.681	7	20,13,8,7,23,16,15
22	45.540	0.685	1	18,8,4,1,24,10,5
23	44.610	0.709	1	1,8,22,3,24,19,7
24	43.210	0.735	6	9,16,19,6,20,18,11
25	45.520	0.741	11	10,14,0,3,15,6,16
26	46.240	0.707	8	3,23,19,6,1,12,24
27	45.180	0.712	4	12,21,22,4,19,15,17
28	44.060	0.710	1	1,22,14,5,24,15,20
29	42.690	0.738	1	6,7,5,3,1,4,24
30	44.400	0.732	13	20,2,3,8,23,12,1
31	43.080	0.765	10	17,13,15,14,10,21,16
32	41.790	0.826	4	6,19,18,8,13,4,24
33	40.150	0.749	2	13,2,19,8,12,21,3
34	38.600	0.844	0	6,7,1,12,8,0,20
35	36.880	0.895	0	9,1,0,17,24,7,12
36	34.870	0.914	0	0,20,2,7,9,24,22
37	32.820	0.901	1	18,11,10,21,14,1,5
38	39.480	0.898	3	2,0,22,19,11,17,4
39	38.060	0.891	0	5,22,0,21,23,10,16
40	36.510	0.931	5	12,5,24,22,14,6,19
41	34.610	0.943	2	5,19,18,17,8,2,14
42	32.610	0.974	4	20,23,4,13,18,24,16
43	36.780	0.958	1	3,20,9,4,24,18,7
44	35.070	0.990	1	1,12,14,13,11,2,19
45	33.020	1.002	0	1,14,13,0,18,4,15
46	31.090	1.004	2	3,22,2,9,20,24,17
47	28.770	1.073	4	18,4,23,17,24,22,5
48	26.620	1.098	3	11,23,18,12,3,15,10
49	23.850	1.157	3	3,21,15,9,7,11,20
