Epoch	Test Accuracy	Min Index	Selected Indices
0	33.450	1.820	NA	NA
1	42.620	1.223	NA	NA
2	43.340	1.010	NA	NA
3	43.140	1.029	NA	NA
4	45.110	0.996	NA	NA
5	46.310	0.906	NA	NA
6	46.780	0.823	NA	NA
7	46.620	0.819	NA	NA
8	48.240	0.875	NA	NA
9	47.720	0.808	NA	NA
10	47.050	0.772	1	12,24,19,10,13,5,6,22,9,1,7
11	46.230	0.834	1	5,23,1,12,15,21,13,8,7,6,11
12	45.220	0.804	0	17,4,1,21,16,7,23,19,10,11,0
13	43.960	0.759	0	23,22,0,7,6,8,3,11,12,2,5
14	42.830	0.866	2	23,5,14,6,7,19,2,4,9,24,22
15	41.420	0.885	2	2,9,12,4,11,13,10,19,3,17,16
16	40.240	0.920	0	19,21,6,8,23,2,5,10,20,0,24
17	38.660	0.867	0	1,6,14,3,8,0,5,19,4,9,13
18	37.160	0.944	0	24,9,6,19,5,0,20,8,16,10,15
19	35.430	0.974	0	21,20,13,1,24,16,9,4,0,2,14
20	33.300	0.945	1	13,7,16,17,3,19,1,23,21,24,10
21	31.040	1.028	3	20,16,6,4,11,18,21,7,8,3,5
22	28.620	1.047	3	9,18,14,24,16,21,13,19,3,20,10
23	25.910	1.013	0	21,18,16,13,11,0,8,20,4,2,24
24	23.470	1.117	1	23,16,6,5,9,2,1,19,13,10,4
25	21.230	1.168	4	7,17,11,16,4,23,14,12,6,13,10
26	18.830	1.157	0	22,10,2,0,11,19,1,14,17,7,21
27	16.480	1.269	0	8,12,5,6,20,22,2,1,0,7,21
28	14.460	1.269	0	21,0,14,3,16,5,1,8,2,7,13
29	12.340	1.404	0	24,9,23,8,11,5,14,16,6,19,0
30	10.810	1.428	1	7,9,12,13,5,15,1,3,22,8,4
31	9.650	1.570	0	23,15,10,24,21,5,0,6,12,4,17
32	8.680	1.707	1	9,17,8,21,1,20,6,7,4,2,3
33	7.840	1.727	1	8,5,23,13,21,24,19,11,12,1,2
34	7.140	1.808	3	19,3,18,16,24,15,4,13,10,9,14
35	6.580	1.906	0	9,20,2,0,18,11,15,4,13,10,1
36	6.040	2.122	0	4,20,5,13,19,0,16,23,12,11,17
37	5.790	2.139	2	9,7,18,24,13,14,2,20,3,16,17
38	5.370	2.248	0	9,14,1,0,7,22,13,3,6,18,16
39	5.250	2.439	1	21,18,12,1,15,22,8,14,5,9,20
40	5.280	2.582	0	7,22,19,2,5,15,0,14,4,13,9
41	5.350	2.584	0	16,8,18,20,0,4,17,6,7,3,21
42	5.670	2.646	0	19,1,24,8,11,16,7,15,4,21,0
43	5.620	2.780	0	22,2,8,15,9,7,0,16,14,19,17
44	5.870	2.970	1	2,21,6,23,7,18,22,16,1,19,17
45	5.900	3.050	0	17,11,0,2,13,6,1,15,5,20,3
46	6.210	3.081	3	17,5,10,19,3,13,24,22,18,15,4
47	6.430	3.218	0	13,8,11,1,16,10,0,21,5,14,15
48	6.700	3.334	1	8,2,22,14,1,17,15,3,12,7,24
49	7.100	3.467	2	20,21,18,2,14,23,3,16,5,9,19
