Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	39.200	1.427	NA	NA
2	44.260	1.243	NA	NA
3	46.040	1.101	NA	NA
4	48.020	1.042	NA	NA
5	48.510	0.973	NA	NA
6	48.450	0.976	NA	NA
7	49.210	1.038	NA	NA
8	48.870	0.998	NA	NA
9	48.760	0.933	NA	NA
10	43.390	0.976	4	4,14,23,5,12,11
11	31.950	1.053	2	13,16,3,17,22,2
12	17.410	1.217	1	23,14,8,1,20,6
13	9.240	1.271	4	10,7,9,6,5,4
14	9.570	1.643	6	6,11,23,20,13,24
15	10.000	1.729	5	12,14,17,8,24,5
16	10.000	2.047	0	20,24,3,5,0,19
17	10.000	2.217	4	12,4,18,5,6,21
18	10.000	2.411	0	0,21,7,14,20,12
19	10.000	2.487	20	4,19,17,1,23,7
20	10.000	2.034	9	22,19,16,9,18,10
21	10.000	2.445	4	16,21,10,17,11,15
22	10.000	2.089	1	12,1,3,9,20,13
23	10.000	2.490	17	8,7,22,13,16,15
24	10.000	2.040	1	18,8,4,1,24,10
25	10.000	2.435	1	5,1,8,3,23,19
26	10.010	2.622	13	7,9,16,19,6,18
27	10.000	2.339	0	11,10,14,0,3,15
28	10.000	2.576	1	6,16,3,19,24,1
29	10.000	2.967	17	12,23,3,24,4,19
30	10.000	2.483	1	21,20,15,17,1,14
31	10.000	2.706	17	5,1,15,23,6,7
32	10.000	2.307	1	5,3,1,4,6,2
33	10.000	2.653	1	3,8,2,12,1,17
34	9.990	2.875	9	13,15,14,10,22,16
35	10.000	2.762	4	6,19,18,8,13,4
36	10.000	3.003	2	6,13,2,19,8,12
37	9.980	3.234	12	8,22,3,6,7,1
38	9.920	2.579	0	12,8,0,23,9,1
39	9.980	3.090	2	0,17,9,7,12,24
40	9.990	2.873	0	20,2,7,9,24,0
41	10.140	3.047	19	2,18,11,10,14,1
42	10.000	2.608	0	23,5,2,0,19,11
43	10.000	2.955	0	17,4,5,0,21,10
44	10.090	3.475	2	16,12,5,23,21,14
45	10.000	2.937	5	6,24,5,19,18,17
46	10.300	3.340	13	8,2,20,14,22,4
47	9.990	2.876	3	13,18,23,16,3,9
48	12.170	3.145	15	4,3,18,19,7,1
49	10.590	2.861	2	12,14,13,11,2,20
