Epoch	Test Accuracy	Min Index	Selected Indices
0	34.130	1.781	NA	NA
1	39.410	1.174	NA	NA
2	42.040	1.276	NA	NA
3	42.820	0.992	NA	NA
4	45.060	1.079	NA	NA
5	31.410	0.962	0	3,5,20,11,6,14,24,0,10,22,17
6	15.130	1.132	2	14,5,9,18,15,19,3,2,8,6,17
7	7.490	1.614	0	24,3,11,0,9,5,10,1,4,15,22
8	5.900	2.397	2	21,11,7,23,3,17,22,14,8,2,16
9	5.810	3.014	4	22,23,21,24,13,9,20,17,5,4,15
10	5.890	3.454	0	23,18,0,2,22,8,9,14,7,5,19
11	6.050	4.677	1	4,1,14,9,8,15,18,2,21,12,5
12	20.060	7.466	0	10,18,20,8,4,22,17,12,14,3,24
13	11.080	2.229	4	10,17,13,18,22,4,21,7,24,14,16
14	9.390	3.068	1	18,15,9,20,24,8,13,2,12,1,4
15	8.160	4.128	2	2,6,23,22,10,24,4,17,7,15,8
16	6.800	5.383	0	23,8,7,11,12,1,9,0,15,20,16
17	7.720	7.059	3	10,3,15,12,18,7,5,4,20,21,17
18	17.030	12.533	20	19,12,5,15,10,21,6,14,16,0,7
19	14.620	2.796	0	12,24,17,14,8,5,21,23,0,2,6
20	13.480	3.565	0	4,19,16,15,12,2,9,0,23,17,11
21	12.260	5.038	5	24,17,18,7,6,15,10,22,5,19,16
22	11.070	7.256	6	21,17,16,6,23,13,15,9,7,19,24
23	13.370	11.569	1	5,24,14,11,16,0,4,10,13,6,3
24	10.310	4.335	4	23,12,19,8,10,6,5,22,9,17,4
25	9.440	6.480	0	4,0,18,17,3,19,7,6,9,10,24
26	9.850	10.510	1	7,24,13,6,2,18,15,10,22,3,1
27	14.170	16.559	14	5,12,21,3,9,23,7,4,1,17,2
28	12.530	5.251	2	24,10,21,20,15,9,23,7,19,2,12
29	12.200	8.710	1	1,9,19,11,14,10,17,24,5,6,8
30	11.100	14.729	0	13,24,7,22,0,8,10,1,14,20,16
31	9.770	22.420	1	14,17,1,22,16,12,15,5,23,10,7
32	12.380	32.900	21	17,16,14,12,8,24,3,15,13,5,10
33	11.330	7.306	1	21,14,8,13,5,17,23,3,1,4,10
34	10.990	13.308	1	1,14,16,22,12,4,8,6,15,19,13
35	13.470	25.003	16	21,12,6,20,5,13,17,8,15,14,11
36	12.030	11.132	0	21,12,9,1,0,5,6,17,15,14,23
37	11.430	18.648	3	16,22,21,15,4,24,12,3,13,20,14
38	10.570	29.510	1	21,9,6,24,4,22,18,5,7,1,2
39	10.370	47.239	1	12,18,1,14,10,4,13,9,16,17,3
40	12.860	71.431	14	0,9,4,19,16,15,1,3,7,21,22
41	13.660	28.238	6	3,15,16,5,13,12,0,20,21,14,1
42	12.300	12.647	1	7,20,6,1,22,19,18,4,15,17,24
43	14.010	22.006	16	4,17,24,1,15,2,0,20,11,14,18
44	13.260	12.141	3	17,24,20,5,8,15,12,3,23,16,18
45	14.910	19.056	13	2,11,24,7,3,14,10,4,15,17,19
46	13.910	10.848	0	6,15,12,3,23,14,13,10,19,1,0
47	12.110	15.884	2	14,17,7,21,20,9,2,24,12,11,15
48	10.950	23.339	0	19,16,15,8,1,22,0,11,3,7,17
49	13.160	35.572	8	1,14,23,15,17,20,6,18,16,24,0
