Epoch	Test Accuracy	Min Index	Selected Indices
0	33.570	1.749	NA	NA
1	43.040	1.197	NA	NA
2	44.550	1.008	NA	NA
3	46.240	1.024	NA	NA
4	47.560	0.925	NA	NA
5	49.550	0.852	NA	NA
6	49.690	0.829	NA	NA
7	46.470	0.872	NA	NA
8	50.780	0.857	NA	NA
9	51.310	0.800	NA	NA
10	51.690	0.706	6	4,14,24
11	39.830	0.764	5	5,22,12
12	49.730	0.919	16	23,11,13
13	50.010	0.812	4	16,3,17
14	37.300	0.869	2	3,2,23
15	45.850	1.020	3	14,8,1
16	34.600	1.029	6	21,20,6
17	17.260	1.265	7	10,7,9
18	7.870	1.731	5	24,6,5
19	5.050	2.398	4	4,6,11
20	25.190	3.105	6	11,20,13
21	12.900	1.722	6	6,12,14
22	10.680	2.340	8	17,8,12
23	23.330	3.195	22	5,20,3
24	19.250	2.189	18	5,0,19
25	10.340	1.970	4	12,4,24
26	25.530	2.563	23	18,5,6
27	17.870	2.020	0	5,0,21
28	22.960	2.419	22	7,14,20
29	16.690	2.307	4	12,4,19
30	10.520	2.836	1	17,24,1
31	8.460	3.481	7	19,7,22
32	16.620	3.947	10	19,24,16
33	14.040	2.150	9	22,9,18
34	21.230	2.882	6	10,16,21
35	24.950	2.165	15	10,17,11
36	18.030	1.966	12	15,12,24
37	13.870	2.603	1	1,3,9
38	20.810	3.436	9	20,13,8
39	14.680	2.466	7	7,22,13
40	21.500	3.019	0	24,16,15
41	23.390	2.404	2	18,8,4
42	17.740	2.330	1	1,21,18
43	13.460	2.960	1	10,5,1
44	18.210	3.780	15	24,8,22
45	23.060	2.526	19	22,3,1
46	17.460	2.466	7	19,7,9
47	22.300	3.122	8	16,19,6
48	16.040	2.478	18	20,23,18
49	21.460	3.177	3	11,10,14
