Epoch	Test Accuracy	Min Index	Selected Indices
0	34.900	1.796	NA	NA
1	42.770	1.187	NA	NA
2	45.020	1.019	NA	NA
3	45.790	0.988	NA	NA
4	47.870	0.877	NA	NA
5	47.990	0.859	NA	NA
6	49.150	0.886	NA	NA
7	49.110	0.876	NA	NA
8	49.010	0.874	NA	NA
9	47.450	0.956	NA	NA
10	50.830	0.809	NA	NA
11	51.570	0.820	NA	NA
12	52.580	0.727	NA	NA
13	52.820	0.710	NA	NA
14	53.550	0.698	NA	NA
15	53.570	0.735	NA	NA
16	53.510	0.724	NA	NA
17	52.060	0.743	NA	NA
18	51.580	0.746	NA	NA
19	52.690	0.718	NA	NA
20	52.800	0.737	NA	NA
21	52.940	0.709	NA	NA
22	51.930	0.757	NA	NA
23	53.260	0.741	NA	NA
24	51.520	0.748	NA	NA
25	53.950	0.680	NA	NA
26	54.160	0.717	NA	NA
27	53.950	0.706	NA	NA
28	53.230	0.755	NA	NA
29	55.340	0.635	NA	NA
30	55.510	0.677	NA	NA
31	54.440	0.651	NA	NA
32	54.070	0.685	NA	NA
33	56.190	0.664	NA	NA
34	56.540	0.691	NA	NA
35	54.410	0.740	NA	NA
36	56.030	0.578	NA	NA
37	55.290	0.623	NA	NA
38	56.060	0.659	NA	NA
39	56.220	0.587	NA	NA
40	54.230	0.687	NA	NA
41	56.980	0.663	NA	NA
42	55.960	0.635	NA	NA
43	56.350	0.636	NA	NA
44	55.270	0.648	NA	NA
45	55.550	0.621	NA	NA
46	55.620	0.631	NA	NA
47	57.050	0.618	NA	NA
48	56.870	0.639	NA	NA
49	56.790	0.638	NA	NA
