Epoch	Test Accuracy	Min Index	Selected Indices
0	35.330	1.738	NA	NA
1	43.040	1.246	NA	NA
2	44.080	0.988	NA	NA
3	44.110	0.977	NA	NA
4	45.360	1.073	NA	NA
5	48.680	0.947	NA	NA
6	48.270	0.858	NA	NA
7	49.730	0.811	NA	NA
8	50.160	0.828	NA	NA
9	50.110	0.856	NA	NA
10	38.280	0.811	0	2,4,0,10,21,6,24,9,23,19,13
11	16.980	1.004	2	12,11,23,7,9,2,8,5,20,6,10
12	9.010	1.293	1	13,17,7,12,15,20,21,1,2,22,10
13	7.730	2.042	1	22,5,20,16,11,18,4,3,13,6,1
14	7.860	2.788	0	4,8,6,11,13,24,2,0,21,22,23
15	7.680	3.346	1	5,22,3,15,6,2,1,14,18,17,8
16	8.250	3.912	0	19,10,12,0,3,11,5,1,20,17,18
17	8.090	5.281	2	15,12,2,6,24,22,10,19,4,5,14
18	15.440	8.665	20	23,7,10,19,16,21,18,4,17,15,24
19	11.410	2.635	0	12,9,19,18,13,0,15,2,3,5,6
20	10.150	3.171	0	20,6,21,4,23,22,10,18,0,14,5
21	9.860	4.056	2	23,2,3,10,6,8,15,11,24,7,14
22	9.770	5.398	2	14,22,2,18,20,15,10,8,21,11,3
23	14.750	7.330	6	1,18,9,3,8,5,22,17,19,13,4
24	10.350	3.092	1	2,18,5,22,7,4,8,15,24,14,1
25	8.280	3.883	4	10,11,17,21,13,23,4,16,14,20,6
26	7.820	5.297	0	22,7,0,24,2,18,9,13,14,12,16
27	8.280	7.554	2	23,9,19,10,8,4,24,17,2,7,11
28	14.200	10.630	22	9,7,14,23,24,21,1,12,19,17,20
29	9.310	3.598	0	22,10,3,21,14,9,16,13,19,4,0
30	8.460	5.130	1	24,16,8,11,1,15,2,10,21,3,9
31	9.280	8.222	3	5,18,11,3,10,17,14,9,4,12,20
32	8.970	13.029	1	17,1,7,6,23,5,2,12,4,13,19
33	9.670	15.004	1	10,19,12,6,3,9,15,1,14,13,8
34	17.220	30.676	16	1,13,9,17,15,11,6,2,23,24,3
35	12.090	3.820	0	18,9,2,0,23,16,1,15,13,10,5
36	10.920	5.350	0	23,17,10,19,5,16,1,22,0,18,15
37	10.810	8.306	2	7,2,11,10,8,9,5,15,4,14,12
38	10.260	15.235	1	11,8,9,19,6,23,18,7,1,22,13
39	10.450	27.650	0	19,12,23,20,18,9,11,5,16,8,0
40	16.100	52.399	4	5,6,13,15,19,24,18,16,23,10,11
41	13.890	10.308	4	21,17,14,23,19,20,4,5,12,24,6
42	17.400	21.249	14	4,16,6,19,2,15,21,3,12,18,22
43	15.290	9.436	2	19,3,20,21,11,10,15,12,2,5,23
44	13.220	16.055	0	7,21,13,0,12,19,20,17,24,11,4
45	11.030	27.936	1	23,2,5,14,10,20,8,17,19,1,15
46	8.850	47.100	1	23,19,11,20,14,10,22,21,17,4,1
47	8.640	69.397	1	21,1,3,23,17,19,11,2,13,9,8
48	9.080	107.814	6	21,24,7,9,16,6,17,19,20,11,23
49	8.930	166.680	2	12,4,9,11,6,15,17,20,7,24,2
