Epoch	Test Accuracy	Min Index	Selected Indices
0	11.280	1.749	NA	NA
1	19.580	1.523	NA	NA
2	17.400	1.482	NA	NA
3	22.670	1.368	NA	NA
4	23.960	1.348	NA	NA
5	21.950	1.261	NA	NA
6	27.890	1.244	NA	NA
7	22.410	1.203	NA	NA
8	25.050	1.210	NA	NA
9	25.050	1.167	NA	NA
10	21.940	1.133	12	4,14,23,5,12,11,13,16,3,17,1
11	20.290	1.255	6	23,14,8,1,20,6,10,7,9,19,2
12	19.730	1.325	12	4,6,11,22,20,13,23,12,14,8,16
13	19.500	1.367	20	12,5,20,22,3,23,0,24,4,19,21
14	17.430	1.424	5	5,0,21,7,14,12,4,17,1,22,11
15	15.190	1.501	9	19,16,22,9,18,10,23,24,11,15,6
16	13.580	1.508	9	24,1,3,9,20,13,8,7,19,15,14
17	11.730	1.589	11	18,8,4,1,24,10,5,21,23,3,11
18	11.580	1.599	19	1,19,7,9,16,23,6,11,10,14,0
19	10.690	1.695	6	22,3,15,6,16,23,21,1,12,19,18
20	10.220	1.730	21	21,22,4,19,20,15,17,1,14,5,0
21	10.340	1.800	1	15,1,6,7,5,3,23,4,22,2,18
22	10.040	1.857	8	8,2,22,12,1,17,13,15,14,10,11
23	9.570	1.873	4	14,16,6,19,18,8,13,4,22,20,1
24	8.960	1.861	22	19,8,12,23,3,6,7,1,22,21,0
25	8.260	1.931	9	8,9,1,0,17,23,7,12,21,2,3
26	8.220	1.984	14	9,20,23,22,0,2,18,11,10,14,21
27	8.270	2.011	10	23,5,2,0,19,11,17,4,24,21,10
28	8.260	2.027	3	23,0,22,10,16,12,5,19,17,14,3
29	8.020	2.033	19	6,5,19,18,17,8,2,14,4,13,9
30	8.810	2.087	20	18,16,3,20,9,4,22,7,1,12,15
31	8.720	2.096	24	14,13,22,11,2,20,1,24,23,0,9
32	8.710	2.137	15	4,15,3,2,9,22,17,24,18,16,21
33	7.230	2.250	19	11,23,18,12,3,15,10,20,19,9,17
34	8.280	2.227	22	23,11,7,1,0,22,16,3,2,4,19
35	7.700	2.343	16	20,1,15,11,16,22,6,19,23,8,0
36	7.790	2.373	16	19,16,23,3,5,1,18,7,14,0,24
37	7.840	2.463	3	7,11,10,3,20,9,21,19,17,14,15
38	8.000	2.435	5	19,6,10,2,5,22,4,23,13,21,1
39	8.270	2.497	4	10,19,6,24,8,4,3,14,0,22,17
40	7.990	2.564	17	16,5,15,19,1,17,14,11,0,2,7
41	7.440	2.561	12	1,13,12,4,6,23,5,20,8,16,3
42	6.370	2.691	7	9,12,23,8,10,0,21,7,16,5,19
43	5.840	2.786	7	21,13,2,11,3,5,15,24,6,7,16
44	5.870	2.869	18	0,14,10,1,8,15,21,2,11,18,23
45	5.800	2.846	19	20,8,18,14,22,19,9,17,12,11,5
46	6.050	2.921	15	5,4,24,10,15,12,13,7,20,3,8
47	6.150	3.009	0	6,5,2,7,22,0,8,15,21,10,24
48	6.160	3.079	22	22,1,19,8,15,11,10,2,16,9,13
49	6.090	3.182	23	19,23,5,11,9,7,12,13,1,0,4
