Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	39.200	1.427	NA	NA
2	44.260	1.243	NA	NA
3	46.040	1.101	NA	NA
4	48.020	1.042	NA	NA
5	48.510	0.973	NA	NA
6	48.450	0.976	NA	NA
7	49.210	1.038	NA	NA
8	48.870	0.998	NA	NA
9	48.760	0.933	NA	NA
10	43.410	0.976	4	4,14,24,5,22
11	32.000	1.073	11	12,23,11,13,16
12	17.150	1.251	2	3,17,2,23,14
13	9.420	1.291	1	8,1,21,20,6
14	9.490	1.574	6	10,7,9,24,6
15	9.990	1.728	4	5,4,6,11,20
16	10.000	2.071	6	13,6,12,14,17
17	10.000	2.185	3	8,12,5,20,3
18	9.990	2.445	22	5,0,19,12,4
19	10.000	1.950	0	24,18,5,6,0
20	10.020	2.305	17	21,7,14,20,12
21	10.000	1.952	1	4,19,17,24,1
22	10.000	2.309	7	19,7,22,24,16
23	10.000	2.676	9	22,9,18,10,16
24	10.000	2.632	16	21,10,17,11,15
25	10.130	2.125	15	12,24,1,3,9
26	9.980	1.853	7	20,13,8,7,22
27	10.010	2.221	13	22,13,24,16,15
28	10.000	2.538	1	18,8,4,1,21
29	10.000	2.747	13	18,10,5,1,24
30	11.520	2.340	7	8,22,3,1,19
31	10.160	2.005	6	7,9,16,19,6
32	9.680	2.239	10	20,23,18,11,10
33	10.520	2.547	12	14,0,22,3,15
34	9.790	2.174	3	6,16,3,23,19
35	9.550	2.541	1	6,1,12,23,3
36	9.830	2.825	18	12,21,22,4,19
37	13.590	2.315	19	21,20,15,17,1
38	9.500	2.021	1	22,14,5,1,15
39	7.850	2.474	1	24,1,6,7,5
40	7.530	2.910	1	3,1,4,6,20
41	7.360	3.139	2	2,3,8,22,23
42	7.760	2.999	19	12,1,17,13,15
43	17.040	2.471	13	14,10,22,16,6
44	12.480	2.110	4	19,18,8,13,4
45	9.220	2.590	2	6,13,2,19,8
46	14.380	2.841	16	12,8,22,3,6
47	10.920	2.388	0	7,1,12,8,0
48	15.460	2.770	16	8,9,1,0,17
49	11.330	2.264	0	9,7,12,0,20
