Epoch	Test Accuracy	Min Index	Selected Indices
0	36.960	1.380	NA	NA
1	42.040	0.959	NA	NA
2	46.650	0.829	NA	NA
3	47.150	0.723	NA	NA
4	48.560	0.680	NA	NA
5	51.220	0.681	NA	NA
6	51.100	0.634	NA	NA
7	52.200	0.599	NA	NA
8	52.560	0.568	NA	NA
9	52.470	0.535	NA	NA
10	51.870	0.598	4	4,14,24,5
11	51.350	0.570	11	22,12,23,11
12	50.540	0.618	3	13,16,3,17
13	49.660	0.599	2	3,2,23,14
14	48.650	0.654	1	8,1,21,20
15	50.020	0.586	5	6,10,7,9
16	49.250	0.630	4	24,6,5,4
17	48.350	0.663	6	6,11,20,13
18	47.350	0.682	6	6,12,14,17
19	46.070	0.629	5	8,12,5,20
20	48.080	0.646	2	20,3,5,0
21	46.910	0.679	4	19,12,4,24
22	45.780	0.680	0	18,5,6,0
23	44.720	0.712	7	21,7,14,20
24	46.270	0.731	6	12,4,19,17
25	46.910	0.706	11	24,1,19,7
26	47.380	0.694	8	22,19,24,16
27	46.340	0.698	9	22,9,18,10
28	45.160	0.697	10	16,21,10,17
29	46.000	0.715	5	11,15,12,24
30	46.360	0.700	13	1,3,9,20
31	45.190	0.743	7	13,8,7,22
32	43.950	0.793	13	22,13,24,16
33	42.700	0.720	4	15,18,8,4
34	41.250	0.811	1	1,21,18,10
35	39.670	0.847	1	5,1,24,8
36	38.130	0.866	1	22,3,1,19
37	41.760	0.858	18	7,9,16,19
38	42.440	0.798	3	6,20,23,18
39	41.090	0.842	0	11,10,14,0
40	39.640	0.875	3	22,3,15,6
41	38.080	0.885	3	16,3,23,19
42	36.220	0.916	1	6,1,12,23
43	39.030	0.895	1	3,12,21,22
44	37.550	0.942	4	4,19,21,20
45	35.740	0.957	1	15,17,1,22
46	33.630	0.950	1	14,5,1,15
47	31.730	1.019	1	24,1,6,7
48	29.450	1.025	1	5,3,1,4
49	26.960	1.084	2	6,20,2,3
