Epoch	Test Accuracy	Min Index	Selected Indices
0	39.340	1.761	NA	NA
1	45.350	1.308	NA	NA
2	47.480	1.177	NA	NA
3	48.870	1.081	NA	NA
4	49.850	1.044	NA	NA
5	50.770	0.975	NA	NA
6	51.360	0.977	NA	NA
7	51.840	0.955	NA	NA
8	52.420	0.951	NA	NA
9	52.890	0.937	NA	NA
10	53.200	0.894	NA	NA
11	53.620	0.909	NA	NA
12	53.710	0.881	NA	NA
13	54.040	0.866	NA	NA
14	54.130	0.866	NA	NA
15	54.440	0.861	NA	NA
16	54.780	0.843	NA	NA
17	54.890	0.833	NA	NA
18	55.080	0.857	NA	NA
19	55.210	0.851	NA	NA
20	55.370	0.836	NA	NA
21	55.510	0.812	NA	NA
22	55.630	0.812	NA	NA
23	55.750	0.812	NA	NA
24	55.830	0.803	NA	NA
25	55.950	0.830	NA	NA
26	56.010	0.810	NA	NA
27	56.080	0.803	NA	NA
28	56.230	0.805	NA	NA
29	56.340	0.774	NA	NA
30	56.330	0.799	NA	NA
31	56.400	0.794	NA	NA
32	56.420	0.787	NA	NA
33	56.470	0.765	NA	NA
34	56.550	0.768	NA	NA
35	56.570	0.790	NA	NA
36	56.620	0.756	NA	NA
37	56.640	0.786	NA	NA
38	56.710	0.793	NA	NA
39	56.700	0.774	NA	NA
40	56.790	0.787	NA	NA
41	56.840	0.764	NA	NA
42	56.890	0.757	NA	NA
43	56.920	0.772	NA	NA
44	56.930	0.751	NA	NA
45	57.040	0.770	NA	NA
46	56.980	0.757	NA	NA
47	57.030	0.762	NA	NA
48	57.040	0.769	NA	NA
49	57.130	0.757	NA	NA
