Epoch	Test Accuracy	Min Index	Selected Indices
0	36.500	1.405	NA	NA
1	43.450	0.999	NA	NA
2	46.220	0.839	NA	NA
3	46.930	0.734	NA	NA
4	47.890	0.711	NA	NA
5	47.950	0.595	NA	NA
6	49.160	0.664	NA	NA
7	50.570	0.670	NA	NA
8	50.720	0.631	NA	NA
9	50.950	0.604	NA	NA
10	50.200	0.643	4	17,23,6,18,5,4,15,12
11	50.390	0.636	8	7,10,5,2,24,9,21,13
12	49.520	0.669	0	13,14,5,22,8,0,16,9
13	49.850	0.655	23	2,16,17,8,12,9,1,24
14	48.890	0.705	1	21,15,10,1,18,22,8,9
15	47.800	0.684	0	6,19,0,2,5,11,14,20
16	46.540	0.731	1	10,4,2,1,7,12,24,16
17	45.160	0.679	1	19,21,1,23,18,20,10,3
18	43.650	0.718	1	3,21,24,15,13,11,23,1
19	41.790	0.764	2	13,4,22,24,2,8,16,3
20	45.930	0.748	1	7,8,4,17,24,21,2,11
21	44.700	0.754	0	1,6,15,0,14,16,3,23
22	43.440	0.788	1	16,10,14,1,4,24,21,7
23	45.000	0.747	2	1,13,17,18,8,5,0,4
24	43.660	0.803	1	17,12,3,22,4,1,15,2
25	42.300	0.766	0	2,11,0,4,24,6,17,19
26	43.850	0.782	14	4,17,18,7,5,16,9,24
27	42.550	0.820	1	9,10,16,23,5,19,1,4
28	40.850	0.850	0	23,1,0,8,14,4,16,20
29	38.850	0.846	5	12,19,10,5,20,22,21,24
30	36.610	0.891	6	13,7,14,16,23,6,10,24
31	33.920	0.908	0	17,20,7,24,10,18,0,13
32	31.140	0.943	0	21,23,12,0,3,6,2,17
33	28.310	0.942	1	15,9,11,23,3,1,21,19
34	25.380	0.980	0	9,6,19,23,24,10,0,16
35	22.220	1.013	0	14,0,16,22,3,7,2,6
36	19.300	1.083	0	4,15,23,3,6,5,0,20
37	16.890	1.042	2	3,12,17,23,19,24,10,2
38	14.160	1.159	2	2,23,15,21,20,18,13,22
39	12.150	1.188	1	7,11,10,6,8,24,4,1
40	10.450	1.212	0	3,4,16,0,20,22,7,5
41	9.300	1.287	0	11,21,14,9,17,13,6,0
42	8.360	1.275	0	15,22,8,17,0,21,9,4
43	7.780	1.406	0	1,16,2,8,18,0,4,10
44	7.260	1.499	2	14,11,8,15,2,22,6,16
45	6.940	1.589	0	0,4,8,19,22,5,2,21
46	6.680	1.653	2	5,22,9,13,6,16,4,2
47	6.580	1.790	2	9,22,19,2,11,13,16,15
48	6.290	1.845	5	9,12,16,8,7,5,6,14
49	6.230	1.903	0	2,14,21,0,1,9,15,7
