Epoch	Test Accuracy	Min Index	Selected Indices
0	36.300	1.760	NA	NA
1	39.220	1.155	NA	NA
2	42.930	1.225	NA	NA
3	46.390	1.053	NA	NA
4	46.570	0.902	NA	NA
5	46.850	0.915	NA	NA
6	47.100	0.965	NA	NA
7	47.750	0.860	NA	NA
8	47.980	0.906	NA	NA
9	49.310	0.818	NA	NA
10	49.970	0.809	NA	NA
11	50.860	0.740	NA	NA
12	51.250	0.757	NA	NA
13	51.290	0.679	NA	NA
14	52.600	0.764	NA	NA
15	52.690	0.695	NA	NA
16	50.260	0.759	NA	NA
17	50.910	0.748	NA	NA
18	51.410	0.606	NA	NA
19	53.030	0.706	NA	NA
20	53.640	0.706	NA	NA
21	54.030	0.659	NA	NA
22	54.020	0.671	NA	NA
23	54.520	0.670	NA	NA
24	54.710	0.655	NA	NA
25	54.700	0.731	NA	NA
26	53.930	0.707	NA	NA
27	55.350	0.685	NA	NA
28	56.150	0.570	NA	NA
29	56.250	0.646	NA	NA
30	56.730	0.600	NA	NA
31	54.880	0.664	NA	NA
32	56.940	0.629	NA	NA
33	57.900	0.578	NA	NA
34	57.960	0.572	NA	NA
35	57.510	0.589	NA	NA
36	56.560	0.628	NA	NA
37	58.020	0.608	NA	NA
38	58.610	0.564	NA	NA
39	59.260	0.617	NA	NA
40	59.170	0.619	NA	NA
41	59.000	0.554	NA	NA
42	58.410	0.631	NA	NA
43	58.510	0.644	NA	NA
44	59.040	0.629	NA	NA
45	59.580	0.600	NA	NA
46	59.020	0.620	NA	NA
47	59.710	0.625	NA	NA
48	59.700	0.616	NA	NA
49	59.610	0.617	NA	NA
