Epoch	Test Accuracy	Min Index	Selected Indices
0	37.380	1.746	NA	NA
1	39.350	1.168	NA	NA
2	39.350	1.204	NA	NA
3	39.380	1.221	NA	NA
4	40.090	1.290	NA	NA
5	24.700	1.045	3	23,20,19,22,12,13,4,9,5,3,7
6	11.350	1.375	0	15,12,20,5,10,0,24,1,6,9,16
7	9.350	1.858	0	19,3,22,6,21,11,14,24,9,16,0
8	8.210	2.392	2	22,7,3,12,19,4,2,17,6,9,13
9	8.610	2.947	0	1,22,11,3,7,12,8,9,18,0,6
10	7.990	3.422	0	19,20,23,15,1,17,9,0,6,10,2
11	7.730	4.380	0	14,4,0,19,5,18,12,17,15,23,8
12	20.380	7.027	12	2,15,19,24,14,7,13,22,1,20,4
13	11.080	2.262	4	10,24,17,18,4,9,7,5,6,19,20
14	10.100	2.916	0	6,18,8,9,0,1,2,10,14,3,7
15	7.480	3.881	0	9,19,4,1,6,11,3,22,0,7,20
16	5.970	4.694	3	11,3,16,24,20,21,13,6,17,19,23
17	6.040	6.945	1	23,15,4,1,20,22,6,9,3,13,17
18	16.320	12.134	2	13,18,5,1,8,15,6,12,19,24,21
19	12.960	2.787	0	20,12,15,4,21,9,1,11,8,16,0
20	11.600	3.227	7	21,8,15,7,10,17,22,12,23,14,20
21	10.230	4.103	0	11,10,16,15,22,3,24,6,5,0,18
22	9.610	5.626	3	23,14,9,4,6,16,24,3,13,7,12
23	12.070	8.746	15	8,12,24,9,0,1,20,7,19,13,5
24	10.110	3.364	0	22,14,5,17,4,24,0,12,21,15,20
25	9.000	4.284	1	4,16,1,21,24,11,12,18,14,19,5
26	8.860	5.888	2	18,17,13,8,9,24,2,3,15,20,12
27	8.550	9.334	2	19,12,6,20,10,15,11,2,17,21,4
28	9.020	13.692	1	7,9,4,2,20,12,6,13,17,19,1
29	14.880	27.396	16	12,8,10,2,14,20,11,23,5,24,22
30	10.920	3.486	2	16,5,12,11,17,2,8,19,22,14,13
31	9.250	4.645	3	7,20,23,4,17,3,18,13,19,11,14
32	9.210	7.348	0	0,10,2,18,8,19,15,9,16,20,12
33	10.100	12.679	1	11,18,3,12,24,21,14,22,8,15,1
34	10.670	24.094	2	23,18,17,11,4,13,16,2,22,6,5
35	12.670	50.512	10	7,23,9,3,21,5,14,22,11,0,16
36	10.300	6.204	2	13,6,7,2,16,15,20,11,5,22,4
37	13.180	11.249	0	15,1,7,22,5,4,21,19,10,13,6
38	11.320	5.524	0	0,20,8,1,19,14,23,5,6,22,4
39	9.100	8.069	0	9,22,0,13,7,19,8,12,21,6,1
40	13.170	12.835	2	21,1,16,5,3,17,0,20,11,9,12
41	12.800	7.175	1	22,1,7,24,15,20,21,2,16,12,11
42	11.700	10.279	0	0,10,21,1,19,15,12,9,14,3,13
43	11.220	14.841	4	20,4,21,19,18,6,15,9,10,8,7
44	11.190	22.081	0	0,20,12,11,2,21,3,24,18,1,19
45	12.090	32.781	16	0,22,21,20,11,14,10,23,17,9,18
46	12.570	10.726	20	4,18,12,2,6,11,9,8,10,24,1
47	11.250	6.146	0	15,20,5,1,7,14,0,2,21,11,16
48	10.510	8.822	4	18,12,24,11,16,21,9,23,4,7,10
49	13.440	13.759	12	24,5,4,6,14,2,3,23,21,1,15
