Epoch	Test Accuracy	Min Index	Selected Indices
0	34.850	1.803	NA	NA
1	38.710	1.155	NA	NA
2	38.910	1.194	NA	NA
3	41.050	1.266	NA	NA
4	44.870	1.056	NA	NA
5	29.030	0.866	1	16,22,8,23,10,4,3,15,7,1,11
6	12.530	1.087	0	24,23,10,2,18,14,13,5,8,20,0
7	9.850	1.601	2	5,21,9,12,6,16,18,10,13,22,2
8	9.610	2.384	0	5,21,19,8,17,9,0,16,10,6,1
9	9.420	2.934	3	16,7,3,6,22,9,10,13,24,17,15
10	9.600	3.480	0	1,15,4,14,11,22,8,0,13,20,21
11	9.950	4.495	1	4,17,1,19,13,20,16,11,2,8,23
12	10.000	6.512	2	18,12,6,21,3,24,5,22,17,8,2
13	17.660	11.901	10	3,21,2,24,23,20,7,17,9,5,22
14	14.320	2.651	1	24,17,5,6,1,7,10,12,11,21,14
15	12.520	3.233	0	23,9,18,1,12,10,24,19,5,0,11
16	11.750	4.116	0	19,4,3,18,2,8,17,10,15,0,20
17	11.370	5.285	4	8,9,20,23,5,10,21,6,15,4,12
18	11.770	7.127	0	7,16,24,18,21,10,12,15,0,14,22
19	14.610	11.236	1	9,13,18,4,23,14,16,10,2,11,7
20	10.670	3.009	0	24,11,0,10,23,6,13,8,2,18,9
21	9.130	3.488	1	19,1,2,9,12,11,23,8,10,24,14
22	8.820	4.501	3	3,7,8,9,4,11,23,19,16,14,12
23	8.260	6.407	1	4,2,1,11,3,12,9,22,18,15,10
24	8.500	9.372	1	3,23,6,9,1,17,24,21,16,15,19
25	10.010	13.327	1	14,15,19,1,7,3,6,22,24,21,5
26	15.660	23.585	19	12,6,2,23,1,21,17,0,22,14,8
27	11.820	3.684	0	23,10,9,12,11,20,0,6,7,18,14
28	10.250	5.189	0	4,17,12,15,2,20,7,1,14,0,24
29	9.520	8.021	0	7,4,22,3,2,16,19,12,0,24,8
30	9.610	13.259	6	20,24,8,18,17,19,10,16,7,22,6
31	12.350	22.033	14	19,17,20,0,24,5,21,8,16,4,2
32	10.170	6.134	0	9,0,20,17,19,23,7,2,13,6,21
33	9.100	10.009	1	5,14,24,17,1,10,6,21,22,18,12
34	8.460	16.317	0	9,8,24,3,5,4,2,14,22,23,0
35	8.940	25.919	0	16,12,8,24,0,23,15,17,10,4,19
36	9.000	35.538	1	17,7,23,1,5,9,11,4,3,14,22
37	11.450	72.063	15	8,12,22,3,13,4,16,21,14,6,20
38	15.070	17.792	22	14,24,4,16,18,23,6,0,15,8,19
39	13.640	7.426	1	13,15,8,1,21,6,18,10,12,14,24
40	12.850	11.991	2	23,15,9,18,5,19,20,4,22,2,11
41	11.980	20.359	1	13,12,19,11,1,9,10,20,17,5,8
42	10.310	34.812	2	14,13,17,11,2,9,5,4,7,24,3
43	11.910	55.847	13	9,4,11,21,7,5,3,12,2,16,1
44	12.970	22.805	11	13,10,2,0,8,24,1,15,16,4,9
45	12.080	11.337	0	20,15,21,4,19,3,6,0,10,22,24
46	11.510	18.249	0	22,21,1,14,19,0,13,3,2,17,5
47	10.680	28.925	1	12,11,9,16,20,18,15,1,10,22,19
48	10.300	44.218	1	19,9,21,24,6,11,7,1,3,17,20
49	10.450	66.920	2	3,20,4,10,8,23,18,2,17,13,24
