Epoch	Test Accuracy	Min Index	Selected Indices
0	39.610	1.767	NA	NA
1	44.310	1.202	NA	NA
2	45.340	1.010	NA	NA
3	45.350	1.028	NA	NA
4	45.310	1.034	NA	NA
5	45.460	1.046	NA	NA
6	45.450	1.050	NA	NA
7	45.530	1.053	NA	NA
8	45.500	1.058	NA	NA
9	45.460	1.054	NA	NA
10	44.600	1.068	1	4,14,23,5,12,11,13,16,3,17,1
11	43.160	1.109	1	4,14,23,5,12,11,13,16,3,17,1
12	41.550	1.139	1	4,14,23,5,12,11,13,16,3,17,1
13	40.140	1.168	1	4,14,23,5,12,11,13,16,3,17,1
14	38.360	1.211	1	4,14,23,5,12,11,13,16,3,17,1
15	35.880	1.233	1	4,14,23,5,12,11,13,16,3,17,1
16	33.480	1.279	1	4,14,23,5,12,11,13,16,3,17,1
17	30.550	1.313	1	4,14,23,5,12,11,13,16,3,17,1
18	27.130	1.357	1	4,14,23,5,12,11,13,16,3,17,1
19	23.960	1.408	1	4,14,23,5,12,11,13,16,3,17,1
20	20.830	1.440	1	4,14,23,5,12,11,13,16,3,17,1
21	17.550	1.491	1	4,14,23,5,12,11,13,16,3,17,1
22	14.820	1.541	1	4,14,23,5,12,11,13,16,3,17,1
23	12.320	1.588	1	4,14,23,5,12,11,13,16,3,17,1
24	10.320	1.647	1	4,14,23,5,12,11,13,16,3,17,1
25	8.720	1.700	1	4,14,23,5,12,11,13,16,3,17,1
26	7.520	1.762	1	4,14,23,5,12,11,13,16,3,17,1
27	6.410	1.817	1	4,14,23,5,12,11,13,16,3,17,1
28	5.760	1.897	1	4,14,23,5,12,11,13,16,3,17,1
29	5.440	1.962	1	4,14,23,5,12,11,13,16,3,17,1
30	5.000	2.010	1	4,14,23,5,12,11,13,16,3,17,1
31	4.610	2.091	1	4,14,23,5,12,11,13,16,3,17,1
32	4.450	2.132	1	4,14,23,5,12,11,13,16,3,17,1
33	4.270	2.206	1	4,14,23,5,12,11,13,16,3,17,1
34	4.180	2.266	1	4,14,23,5,12,11,13,16,3,17,1
35	4.110	2.310	1	4,14,23,5,12,11,13,16,3,17,1
36	4.130	2.360	1	4,14,23,5,12,11,13,16,3,17,1
37	4.040	2.430	1	4,14,23,5,12,11,13,16,3,17,1
38	3.970	2.466	1	4,14,23,5,12,11,13,16,3,17,1
39	3.920	2.530	1	4,14,23,5,12,11,13,16,3,17,1
40	4.090	2.591	1	4,14,23,5,12,11,13,16,3,17,1
41	4.310	2.660	1	4,14,23,5,12,11,13,16,3,17,1
42	4.750	2.713	1	4,14,23,5,12,11,13,16,3,17,1
43	5.570	2.760	1	4,14,23,5,12,11,13,16,3,17,1
44	6.600	2.834	1	4,14,23,5,12,11,13,16,3,17,1
45	7.550	2.901	1	4,14,23,5,12,11,13,16,3,17,1
46	8.450	2.955	1	4,14,23,5,12,11,13,16,3,17,1
47	9.340	3.037	1	4,14,23,5,12,11,13,16,3,17,1
48	9.820	3.126	1	4,14,23,5,12,11,13,16,3,17,1
49	9.930	3.213	1	4,14,23,5,12,11,13,16,3,17,1
