Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	39.200	1.427	NA	NA
2	44.260	1.243	NA	NA
3	46.040	1.101	NA	NA
4	48.020	1.042	NA	NA
5	48.510	0.973	NA	NA
6	48.450	0.976	NA	NA
7	49.210	1.038	NA	NA
8	48.870	0.998	NA	NA
9	48.760	0.933	NA	NA
10	43.190	0.976	3	4,14,23,5,12,11,13,16,3,17
11	31.850	1.098	1	2,23,14,8,1,6,10,7,9,19
12	17.100	1.271	4	5,4,6,11,21,13,22,12,14,8
13	9.420	1.312	0	12,5,20,22,3,23,0,24,4,19
14	9.750	1.595	0	6,5,0,21,7,14,12,4,1,20
15	10.000	1.733	9	22,19,16,9,18,10,24,23,11,15
16	10.000	2.067	1	12,1,3,9,20,13,8,7,19,15
17	10.000	2.230	1	18,8,4,1,24,10,5,21,23,3
18	10.000	2.346	1	22,1,19,7,9,16,6,11,10,14
19	10.000	2.438	0	0,22,3,15,6,16,23,20,1,12
20	10.000	2.598	22	23,3,12,21,4,19,15,17,1,14
21	10.000	2.203	1	5,1,15,23,6,7,24,3,21,4
22	10.000	2.560	1	6,20,2,3,8,22,12,1,13,15
23	10.000	3.048	2	14,10,22,24,16,6,18,8,13,4
24	10.000	2.329	2	6,13,2,19,8,12,20,3,24,7
25	10.000	2.835	13	1,12,8,0,22,9,24,21,19,7
26	10.000	2.353	0	12,0,20,2,7,9,23,21,11,10
27	10.000	2.759	0	21,14,1,5,2,0,11,17,4,24
28	10.000	3.137	17	22,0,21,23,10,16,12,5,18,19
29	10.000	2.807	2	23,14,6,22,5,19,18,17,8,2
30	10.000	3.050	3	20,14,24,4,13,18,19,16,3,9
31	10.000	3.526	17	4,3,18,19,7,1,12,14,13,11
32	10.000	2.851	0	2,24,1,14,13,0,18,4,15,3
33	10.000	3.451	24	22,2,9,20,3,17,18,4,19,16
34	10.000	2.964	3	5,11,18,12,3,15,10,20,19,9
35	10.000	3.481	0	7,23,11,24,1,0,21,16,3,2
36	10.000	3.839	9	4,15,20,1,23,11,16,22,6,17
37	10.000	3.268	0	1,21,16,18,8,0,22,23,3,5
38	10.000	3.669	0	1,18,22,7,14,0,3,21,11,10
39	10.000	4.211	8	3,20,9,24,22,23,14,6,10,2
40	10.000	3.464	2	5,10,19,20,22,4,6,13,2,16
41	10.000	3.958	15	10,19,6,24,8,4,3,14,0,22
42	10.000	3.377	0	16,5,15,19,1,17,14,11,0,2
43	10.000	3.966	1	15,1,13,12,4,6,22,5,19,8
44	10.000	4.624	2	8,6,9,12,21,24,10,0,19,7
45	10.000	3.747	1	16,5,1,21,13,2,11,3,23,15
46	10.000	4.553	0	11,6,21,16,7,12,0,14,10,1
47	10.000	4.650	0	8,15,19,1,2,11,21,24,14,9
48	10.000	3.607	4	17,12,11,10,5,4,20,21,15,23
49	10.000	4.443	21	19,13,7,15,3,16,6,5,2,22
