Epoch	Test Accuracy	Min Index	Selected Indices
0	36.960	1.380	NA	NA
1	42.040	0.959	NA	NA
2	46.650	0.829	NA	NA
3	47.150	0.723	NA	NA
4	48.560	0.680	NA	NA
5	51.220	0.681	NA	NA
6	51.100	0.634	NA	NA
7	52.200	0.599	NA	NA
8	52.560	0.568	NA	NA
9	52.470	0.535	NA	NA
10	51.920	0.598	4	4,14,23,5,12,11,13,16
11	51.180	0.578	1	3,17,24,2,14,8,1,6
12	50.430	0.617	4	10,7,9,6,5,4,21,11
13	49.610	0.598	6	11,20,13,6,12,14,17,8
14	48.510	0.656	0	12,5,20,22,3,23,0,24
15	47.270	0.590	0	4,18,5,6,22,0,7,14
16	45.880	0.645	1	20,12,4,19,17,1,7,16
17	44.530	0.677	9	22,9,24,18,10,16,20,17
18	42.990	0.703	1	11,15,12,1,3,9,13,8
19	41.400	0.653	7	7,22,23,13,16,15,18,8
20	46.900	0.662	2	4,1,21,18,10,5,23,8
21	45.970	0.689	1	22,24,3,1,19,7,9,16
22	44.760	0.686	0	19,6,20,18,11,10,14,0
23	43.580	0.722	1	22,3,15,6,16,23,21,1
24	45.440	0.737	6	12,23,3,24,4,19,15,17
25	46.110	0.722	11	1,22,14,5,24,15,20,6
26	46.360	0.705	8	7,5,3,1,4,6,2,22
27	45.350	0.709	1	8,2,22,12,1,17,13,15
28	44.530	0.701	6	14,10,22,24,16,6,18,8
29	45.190	0.725	5	13,4,6,24,2,19,8,12
30	45.550	0.708	13	8,22,3,6,7,1,12,24
31	44.550	0.746	0	0,8,9,1,24,17,22,7
32	43.260	0.800	0	12,0,20,2,7,9,23,21
33	42.030	0.730	1	18,11,10,21,14,1,5,2
34	40.520	0.814	0	0,22,19,11,17,4,5,24
35	39.150	0.861	0	21,23,0,10,16,12,5,19
36	37.260	0.882	5	12,23,14,6,21,5,18,17
37	40.810	0.868	18	8,2,20,14,22,4,13,16
38	39.370	0.813	1	3,20,9,4,24,18,7,1
39	37.840	0.883	1	12,14,13,11,2,20,1,23
40	36.090	0.909	0	13,0,18,4,15,3,2,9
41	33.750	0.931	3	20,21,3,17,18,4,19,23
42	31.890	0.971	3	18,4,5,11,24,12,3,15
43	37.600	0.951	1	10,3,21,15,9,7,11,19
44	35.630	0.962	0	1,0,7,16,3,17,2,4
45	33.610	0.985	1	15,20,1,24,11,16,21,6
46	31.700	0.978	0	15,1,21,16,18,8,0,22
47	29.390	1.055	1	16,3,22,5,1,18,7,14
48	27.170	1.069	0	22,0,3,7,11,10,24,9
49	24.760	1.119	2	3,9,23,14,19,6,10,2
