Epoch	Test Accuracy	Min Index	Selected Indices
0	32.650	1.815	NA	NA
1	44.600	1.245	NA	NA
2	47.900	1.064	NA	NA
3	46.150	0.919	NA	NA
4	47.150	0.904	NA	NA
5	47.800	0.816	NA	NA
6	49.020	0.855	NA	NA
7	49.940	0.789	NA	NA
8	50.140	0.778	NA	NA
9	50.760	0.821	NA	NA
10	24.500	0.746	1	24,21,11,1,19,10,20,22,13,7,15
11	7.090	1.109	0	21,0,19,22,5,14,23,18,16,12,11
12	4.820	2.181	3	14,5,19,23,24,4,3,22,13,16,17
13	5.210	3.152	3	16,18,14,3,11,9,15,19,21,17,22
14	21.960	4.047	23	16,1,21,10,18,20,14,5,24,19,11
15	12.290	2.283	1	20,9,8,1,7,5,10,2,14,12,21
16	7.270	3.275	0	24,19,23,7,11,20,0,13,4,5,2
17	16.520	4.781	6	11,14,3,5,17,18,0,12,4,22,2
18	9.270	2.764	0	15,0,17,4,16,21,24,7,20,23,8
19	7.940	4.005	3	13,18,6,15,17,4,11,8,20,23,3
20	17.040	5.768	14	2,16,8,23,11,20,1,7,18,21,3
21	10.340	3.060	1	12,5,1,4,8,13,23,21,7,22,16
22	8.560	4.648	0	18,15,24,7,9,23,21,14,19,11,0
23	11.590	6.709	23	17,10,13,7,2,12,8,22,3,20,14
24	9.280	3.570	1	9,10,4,11,1,23,19,8,5,22,24
25	15.560	5.902	19	1,14,4,12,5,20,0,23,16,2,11
26	11.820	4.092	1	24,1,7,11,21,20,13,3,23,18,9
27	14.370	6.096	13	21,5,18,9,23,15,2,11,8,7,16
28	12.510	4.244	3	12,18,15,7,13,4,6,24,21,3,11
29	12.490	6.493	10	21,22,2,17,6,18,16,7,4,11,24
30	10.270	4.567	1	12,8,6,20,23,9,22,1,5,14,13
31	9.990	6.671	0	15,8,20,3,2,10,9,24,0,18,12
32	12.880	10.324	11	19,22,1,4,5,8,20,7,17,2,14
33	9.240	4.072	0	0,3,11,22,10,6,15,19,18,24,14
34	14.510	7.732	2	24,0,1,17,11,18,14,9,7,13,16
35	11.180	4.676	0	14,1,15,7,0,16,20,5,17,13,4
36	10.300	8.206	24	11,9,15,23,5,10,8,6,18,19,16
37	8.790	5.392	0	8,13,24,22,0,4,11,19,10,6,21
38	14.980	9.160	4	9,15,6,20,2,13,10,14,3,0,18
39	11.690	6.465	1	22,18,15,6,23,8,24,19,16,12,1
40	14.660	11.002	13	4,7,12,19,10,24,20,21,8,0,2
41	14.100	7.006	10	7,17,9,0,5,20,23,14,19,18,24
42	12.060	4.724	4	24,14,4,5,16,22,6,17,20,18,8
43	13.480	8.228	9	4,12,10,13,5,19,22,0,2,24,7
44	10.430	5.672	0	0,15,8,1,20,5,18,24,17,22,19
45	8.810	9.347	0	23,18,5,11,1,15,6,21,16,10,0
46	12.480	15.612	6	12,10,3,18,8,17,7,24,23,13,11
47	16.330	8.996	1	5,0,8,2,23,19,6,13,16,12,17
48	13.570	5.608	3	3,17,21,14,10,13,12,18,5,22,11
49	11.420	10.952	0	16,0,12,18,5,4,24,17,11,23,9
