Epoch	Test Accuracy	Min Index	Selected Indices
0	38.930	1.759	NA	NA
1	41.360	1.125	NA	NA
2	41.840	1.197	NA	NA
3	45.560	1.004	NA	NA
4	46.120	1.012	NA	NA
5	48.780	0.873	NA	NA
6	49.000	0.838	NA	NA
7	48.170	0.930	NA	NA
8	49.560	0.823	NA	NA
9	50.130	0.791	NA	NA
10	50.320	0.819	7	1,11,21,10,5,3,2,24,17,8,6
11	49.340	0.807	1	10,19,23,7,5,16,22,2,1,20,8
12	47.970	0.843	3	16,9,13,5,18,24,6,21,8,3,14
13	46.670	0.887	0	3,1,16,0,24,12,4,6,5,9,19
14	45.240	0.884	5	18,23,21,12,11,24,14,10,16,7,5
15	43.370	0.891	0	7,13,9,16,17,2,24,21,10,0,1
16	41.480	0.945	0	7,6,8,11,15,23,0,16,4,2,10
17	39.060	0.980	0	2,22,1,14,19,4,20,0,11,17,16
18	36.270	0.946	0	11,2,9,20,1,21,23,0,10,16,7
19	33.290	0.949	0	15,14,10,0,20,9,12,3,11,18,16
20	30.470	0.982	0	19,4,1,3,8,0,22,6,10,7,15
21	27.320	1.052	0	23,17,4,21,14,1,0,3,22,6,24
22	24.060	1.072	0	17,15,5,12,8,19,21,16,0,7,6
23	21.080	1.123	1	1,22,9,16,23,24,8,4,21,17,18
24	18.160	1.211	0	9,0,19,12,4,22,23,10,16,1,3
25	15.240	1.236	2	5,10,15,24,21,19,9,2,20,23,11
26	12.870	1.301	0	7,5,14,4,15,16,0,23,18,13,12
27	10.960	1.341	1	1,16,15,14,5,2,18,13,20,6,4
28	9.540	1.413	1	12,3,18,24,1,4,22,2,21,17,13
29	8.430	1.497	0	13,17,23,19,14,4,24,12,22,3,0
30	7.530	1.607	1	4,15,10,14,19,20,22,5,1,13,23
31	6.660	1.706	1	5,21,7,17,23,6,9,11,20,12,1
32	6.040	1.634	1	19,20,6,17,16,1,23,3,4,13,10
33	5.520	1.825	2	2,10,12,5,11,16,22,18,13,7,15
34	5.060	1.933	1	13,1,8,11,15,20,19,24,21,16,23
35	4.820	2.014	1	8,18,12,11,9,17,10,16,24,7,1
36	4.530	2.147	0	9,5,17,16,21,6,0,7,14,13,23
37	4.450	2.201	0	0,4,16,18,10,19,22,24,12,11,15
38	4.120	2.306	1	19,16,14,24,5,7,6,15,12,1,17
39	3.970	2.436	1	17,12,1,23,10,22,19,4,7,16,2
40	4.010	2.448	0	3,18,21,4,0,20,17,16,7,10,15
41	3.990	2.571	1	23,21,10,5,24,1,7,20,16,18,17
42	3.870	2.659	2	18,19,24,21,16,6,5,10,17,2,22
43	4.060	2.694	2	9,14,5,2,16,15,19,24,6,12,10
44	4.190	2.831	0	22,0,9,17,11,10,24,1,4,16,5
45	4.470	2.889	4	18,12,11,21,15,23,20,8,13,19,4
46	4.830	3.061	4	18,14,4,11,16,6,21,10,17,12,19
47	5.350	3.176	3	9,21,3,16,10,24,17,13,18,8,15
48	5.700	3.332	3	14,13,18,21,16,9,3,24,20,22,10
49	6.000	3.480	1	1,22,6,24,15,4,2,21,5,8,14
