Epoch	Test Accuracy	Min Index	Selected Indices
0	33.570	1.749	NA	NA
1	43.040	1.197	NA	NA
2	44.550	1.008	NA	NA
3	46.240	1.024	NA	NA
4	47.560	0.925	NA	NA
5	49.550	0.852	NA	NA
6	49.690	0.829	NA	NA
7	46.470	0.872	NA	NA
8	50.780	0.857	NA	NA
9	51.310	0.800	NA	NA
10	51.690	0.706	6	4,14,23,5,12,11,13
11	39.350	0.764	2	16,3,17,23,2,14,8
12	19.780	0.925	1	1,21,20,6,10,7,9
13	9.960	1.252	4	24,6,5,4,23,11,19
14	7.310	2.097	6	20,13,6,12,14,17,8
15	7.000	2.870	0	12,5,20,22,3,23,0
16	24.250	3.589	14	19,12,4,18,5,6,20
17	14.660	1.886	0	0,21,7,14,20,12,4
18	9.570	2.527	1	19,17,1,24,7,21,16
19	19.560	3.363	11	22,9,24,18,10,16,20
20	13.210	2.359	1	17,11,15,12,1,3,9
21	11.050	2.987	7	20,13,8,7,23,16,15
22	18.070	3.857	0	18,8,4,1,24,10,5
23	13.310	2.791	1	1,8,22,3,24,19,7
24	9.660	3.342	6	9,16,19,6,20,18,11
25	16.050	4.282	17	10,14,0,3,15,6,16
26	11.300	3.163	1	3,23,19,6,1,12,24
27	9.950	3.808	4	12,21,22,4,19,15,17
28	13.910	4.622	0	1,22,14,5,24,15,20
29	10.230	3.520	1	6,7,5,3,1,4,24
30	16.770	4.231	16	20,2,3,8,23,12,1
31	12.570	3.597	10	17,13,15,14,10,21,16
32	14.950	4.433	2	6,19,18,8,13,4,24
33	10.400	3.539	2	13,2,19,8,12,21,3
34	18.900	4.203	2	6,7,1,12,8,0,20
35	14.880	3.480	0	9,1,0,17,24,7,12
36	15.970	4.264	18	0,20,2,7,9,24,22
37	10.600	3.683	1	18,11,10,21,14,1,5
38	14.480	4.297	14	2,0,22,19,11,17,4
39	11.730	3.752	0	5,22,0,21,23,10,16
40	21.270	4.258	15	12,5,24,22,14,6,19
41	17.900	3.750	2	5,19,18,17,8,2,14
42	15.100	4.454	4	20,23,4,13,18,24,16
43	18.200	5.164	14	3,20,9,4,24,18,7
44	14.990	3.686	1	1,12,14,13,11,2,19
45	19.830	4.687	7	1,14,13,0,18,4,15
46	15.280	3.707	2	3,22,2,9,20,24,17
47	18.860	4.483	10	18,4,23,17,24,22,5
48	15.870	3.767	3	11,23,18,12,3,15,10
49	19.440	4.448	5	3,21,15,9,7,11,20
