Epoch	Test Accuracy	Min Index	Selected Indices
0	36.960	1.380	NA	NA
1	42.040	0.959	NA	NA
2	46.650	0.829	NA	NA
3	47.150	0.723	NA	NA
4	48.560	0.680	NA	NA
5	51.220	0.681	NA	NA
6	51.100	0.634	NA	NA
7	52.200	0.599	NA	NA
8	52.560	0.568	NA	NA
9	52.470	0.535	NA	NA
10	51.930	0.598	4	4,14,23,5,12,11
11	51.360	0.577	2	13,16,3,17,22,2
12	50.480	0.617	1	23,14,8,1,20,6
13	51.260	0.596	14	10,7,9,6,5,4
14	50.310	0.642	6	6,11,23,20,13,24
15	49.560	0.577	5	12,14,17,8,24,5
16	48.490	0.638	0	20,24,3,5,0,19
17	47.640	0.669	4	12,4,18,5,6,21
18	46.340	0.688	0	0,21,7,14,20,12
19	45.100	0.636	1	4,19,17,1,23,7
20	47.770	0.646	2	22,19,16,9,18,10
21	46.600	0.684	10	16,21,10,17,11,15
22	45.470	0.678	1	12,1,3,9,20,13
23	44.380	0.711	7	8,7,22,13,16,15
24	46.150	0.730	6	18,8,4,1,24,10
25	46.800	0.716	11	5,1,8,3,23,19
26	47.450	0.696	8	7,9,16,19,6,18
27	46.070	0.697	0	11,10,14,0,3,15
28	45.120	0.697	1	6,16,3,19,24,1
29	45.810	0.715	5	12,23,3,24,4,19
30	46.290	0.702	13	21,20,15,17,1,14
31	45.140	0.741	1	5,1,15,23,6,7
32	43.840	0.792	1	5,3,1,4,6,2
33	42.600	0.718	1	3,8,2,12,1,17
34	41.120	0.805	10	13,15,14,10,22,16
35	39.450	0.854	4	6,19,18,8,13,4
36	37.860	0.880	2	6,13,2,19,8,12
37	41.610	0.853	18	8,22,3,6,7,1
38	42.400	0.801	3	12,8,0,23,9,1
39	40.870	0.844	0	0,17,9,7,12,24
40	39.340	0.873	0	20,2,7,9,24,0
41	37.890	0.880	1	2,18,11,10,14,1
42	35.950	0.908	0	23,5,2,0,19,11
43	38.860	0.888	1	17,4,5,0,21,10
44	37.590	0.939	5	16,12,5,23,21,14
45	35.620	0.965	5	6,24,5,19,18,17
46	33.710	0.946	2	8,2,20,14,22,4
47	31.500	1.012	3	13,18,23,16,3,9
48	29.330	1.036	1	4,3,18,19,7,1
49	26.900	1.084	2	12,14,13,11,2,20
